Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,0.1µF,C_0603_1608Metric,171.0,-102.5,0.0,top
C2,4.7µF,C_0603_1608Metric,171.0,-104.01,0.0,top
C3,100nF,C_0603_1608Metric,156.75,-91.25,180.0,top
C4,10uF,C_0603_1608Metric,156.75,-94.25,180.0,top
C5,4.7uF,C_0603_1608Metric,156.75,-92.75,180.0,top
C6,10uF,C_0603_1608Metric,158.0,-87.25,270.0,top
C7,10uF,C_0603_1608Metric,156.25,-87.25,270.0,top
C8,220µF,CP_Elec_6.3x7.7,151.0,-83.25,180.0,top
C9,22µF,C_0603_1608Metric,143.0,-87.25,90.0,top
C10,22µF,C_0603_1608Metric,141.5,-87.25,90.0,top
C11,2.2uF,C_0603_1608Metric,155.0,-97.0,180.0,top
C12,2.2uF,C_0603_1608Metric,143.25,-98.0,0.0,top
C13,C_Polarized_Small_US,C_Elec_6.3x5.4,168.5,-84.25,90.0,top
C14,C_Polarized_Small_US,C_Elec_6.3x5.4,175.75,-92.75,0.0,top
CN1,X3025WRS-03D-LPSW,CONN-SMD_3P-H-P3.00-R_X3025WRS-03D-LPSW,135.75,-101.3775,0.0,top
D1,40V Independent Type 550mV@5A 5A SMA(DO-214AC) Schottky Diodes ROHS,D_SMA,135.75,-91.5,90.0,top
F1,Fuse,Fuse_1206_3216Metric,167.0,-99.25,90.0,top
J1,Conn_01x02,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,178.25,-84.0,270.0,top
J3,Conn_01x02,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,160.25,-106.75,0.0,top
J4,Conn_01x05,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,152.5,-106.75,0.0,top
L1,2.2uH,L_Changjiang_FNR6028S,149.75,-91.25,90.0,top
L2,4.7uH,L_Changjiang_FNR6028S,135.25,-83.5,180.0,top
Q1,PMOS,SOT-23,158.25,-82.0,0.0,top
R1,5.1kΩ,R_0603_1608Metric,171.0,-107.5,180.0,top
R2,5.1kΩ,R_0603_1608Metric,171.0,-106.0,180.0,top
R3,10kΩ,R_0603_1608Metric,159.25,-100.5,90.0,top
R4,10kΩ,R_0603_1608Metric,160.76,-100.5,90.0,top
R5,10kΩ,R_0603_1608Metric,164.75,-99.25,90.0,top
R6,2.7k,R_0603_1608Metric,168.25,-92.75,180.0,top
R7,100k,R_0603_1608Metric,161.25,-82.0,270.0,top
R8,100k,R_0603_1608Metric,163.0,-82.0,270.0,top
R9,10kΩ,R_0603_1608Metric,144.5,-87.25,270.0,top
R10,47kΩ,R_0603_1608Metric,140.0,-88.25,90.0,top
R11,10kΩ,R_0603_1608Metric,143.25,-96.25,180.0,top
TH1,Thermistor_NTC,R_0603_1608Metric,168.25,-91.25,180.0,top
U1,STUSB4500LQTR,QFN50P400X400X100-25N,166.0,-105.75,270.0,top
U2,USBLC6-2SC6,SOT-23-6,171.5,-99.0,270.0,top
U3,BQ24195RGET,QFN50P400X400X100-25N,162.5,-93.0,90.0,top
U4,MT3608,SOT95P280X145-6N,142.75,-83.25,0.0,top
U5,LR1801G-33-SH2-R,HSOP-8_L5.0-W4.0-P1.27-LS6.2-BL-EP,149.25,-99.0,270.0,top
USBC1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12,177.6325,-102.75,90.0,top
