Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,2.2µF,C23630
C2,0603,1,0.1µF,C14663
D1,0603,1,LED,C19171301
"D2, D3",SOT-23,2,BAT54S,C727126
FPC1,FPC-SMD_8P-P1.00_FPC1.0-8P-SJ,1,FPC1.0-8P,C132510
J1,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,1,Conn_01x05,C136657
"R1, R2, R6, R7, R8, R9",0603,6,4.7kΩ,C99782
"R12, R13, R14, R3",0603,4,10kΩ,C25804
R4,0603,1,1kΩ,C22548
R5,0603,1,8.2kΩ,C25981
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D1.5mm,5,TestPoint_Small,
U1,SOP65P640X120-16N,1,PCA9546APWR,C400705
